tipo	ga	versao	origem	scope	divergente
direta	org.springframework:spring-aop	7.0.9	effective-pom	compile	
direta	org.springframework:spring-web	7.0.9	effective-pom	compile	
direta	jakarta.servlet:jakarta.servlet-api	6.1.0	effective-pom	compile	
direta	org.springframework.cloud:spring-cloud-starter	5.0.2	effective-pom	compile	
direta	org.springframework:spring-context	7.0.9	effective-pom	compile	
direta	org.springframework:spring-aspects	7.0.9	effective-pom	compile	
direta	org.springframework.boot:spring-boot-autoconfigure	4.1.1	effective-pom	compile	
direta	de.siegmar:logback-gelf	6.1.2	effective-pom	compile	
direta	org.apache.commons:commons-lang3	3.20.0	effective-pom	compile	
direta	org.projectlombok:lombok	1.18.46	effective-pom	compile	
direta	org.jspecify:jspecify	1.0.1	effective-pom	compile	
direta	br.com.sawcunhaos:scos-foundation-cache	1.2.0-SNAPSHOT	effective-pom	compile	
direta	br.com.sawcunhaos:scos-foundation-privacy	1.2.0-SNAPSHOT	effective-pom	compile	
direta	br.com.sawcunhaos:scos-foundation-jdempotent-api	1.2.0-SNAPSHOT	effective-pom	compile	
direta	io.github.resilience4j:resilience4j-spring-boot4	2.4.0	propria (confirmada por effective-pom)	compile	
direta	io.micrometer:micrometer-core	1.17.1	effective-pom	compile	
direta	org.junit.jupiter:junit-jupiter	6.0.3	effective-pom	test	
direta	org.mockito:mockito-core	5.23.0	effective-pom	test	
direta	org.springframework.boot:spring-boot-starter-test	4.1.1	effective-pom	test	
direta	org.springframework.boot:spring-boot-starter-web	4.1.1	effective-pom	test	
direta	org.hibernate.validator:hibernate-validator	9.1.3.Final	effective-pom	test	
direta	org.springframework:spring-test	7.0.9	effective-pom	test	
direta	org.junit.platform:junit-platform-launcher	6.0.3	effective-pom	test	
direta	org.junit.platform:junit-platform-engine	6.0.3	effective-pom	test	
direta	org.testcontainers:testcontainers	2.0.5	effective-pom	test	
direta	org.testcontainers:testcontainers-junit-jupiter	2.0.5	effective-pom	test	
direta	io.rest-assured:spring-mock-mvc	6.0.1	effective-pom	test	
transitiva	br.com.sawcunhaos:scos-foundation-core	1.2.0-SNAPSHOT	transitiva	compile	
transitiva	ch.qos.logback:logback-classic	1.5.38	transitiva	compile	
transitiva	ch.qos.logback:logback-core	1.5.38	transitiva	compile	
transitiva	com.fasterxml.jackson.core:jackson-annotations	2.22	transitiva	compile	
transitiva	com.fasterxml:classmate	1.7.3	transitiva	test	
transitiva	com.github.docker-java:docker-java-api	3.7.1	transitiva	test	
transitiva	com.github.docker-java:docker-java-transport	3.7.1	transitiva	test	
transitiva	com.github.docker-java:docker-java-transport-zerodep	3.7.1	transitiva	test	
transitiva	com.github.spotbugs:spotbugs-annotations	4.9.8	transitiva	provided	
transitiva	com.jayway.jsonpath:json-path	2.10.0	transitiva	test	
transitiva	com.vaadin.external.google:android-json	0.0.20131108.vaadin1	transitiva	test	
transitiva	commons-codec:commons-codec	1.21.0	transitiva	test	
transitiva	commons-io:commons-io	2.22.0	transitiva	test	
transitiva	commons-logging:commons-logging	1.3.6	transitiva	compile	
transitiva	io.github.resilience4j:resilience4j-annotations	2.3.0	transitiva	compile	
transitiva	io.github.resilience4j:resilience4j-bulkhead	2.3.0	transitiva	compile	
transitiva	io.github.resilience4j:resilience4j-circuitbreaker	2.3.0	transitiva	compile	
transitiva	io.github.resilience4j:resilience4j-circularbuffer	2.3.0	transitiva	runtime	
transitiva	io.github.resilience4j:resilience4j-consumer	2.3.0	transitiva	compile	
transitiva	io.github.resilience4j:resilience4j-core	2.3.0	transitiva	compile	
transitiva	io.github.resilience4j:resilience4j-framework-common	2.3.0	transitiva	compile	
transitiva	io.github.resilience4j:resilience4j-micrometer	2.3.0	transitiva	compile	
transitiva	io.github.resilience4j:resilience4j-ratelimiter	2.3.0	transitiva	compile	
transitiva	io.github.resilience4j:resilience4j-retry	2.3.0	transitiva	compile	
transitiva	io.github.resilience4j:resilience4j-spring6	2.3.0	transitiva	compile	
transitiva	io.github.resilience4j:resilience4j-timelimiter	2.3.0	transitiva	compile	
transitiva	io.lettuce:lettuce-core	7.5.2.RELEASE	transitiva	compile	
transitiva	io.micrometer:micrometer-commons	1.17.1	transitiva	compile	
transitiva	io.micrometer:micrometer-observation	1.17.1	transitiva	compile	
transitiva	io.netty:netty-buffer	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-codec-base	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-codec-dns	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-common	4.2.17.Final	transitiva	compile	
