tipo	ga	versao	origem	scope	divergente
direta	br.com.sawcunhaos:scos-foundation-core	1.2.0-SNAPSHOT	effective-pom	compile	
direta	io.github.openfeign:feign-core	13.6.1	effective-pom	compile	
direta	tools.jackson.core:jackson-databind	3.2.2	effective-pom	compile	
direta	com.tngtech.archunit:archunit-junit5	1.5.0	gerenciada:dependencyManagement (confirmada por effective-pom)	test	
direta	org.junit.jupiter:junit-jupiter	6.0.3	effective-pom	test	
direta	org.mockito:mockito-core	5.23.0	effective-pom	test	
direta	org.mockito:mockito-junit-jupiter	5.23.0	effective-pom	test	
transitiva	com.fasterxml.jackson.core:jackson-annotations	2.22	transitiva	compile	
transitiva	com.github.spotbugs:spotbugs-annotations	4.9.8	transitiva	provided	
transitiva	com.tngtech.archunit:archunit	1.5.0	transitiva	test	
transitiva	com.tngtech.archunit:archunit-junit5-api	1.5.0	transitiva	test	
transitiva	com.tngtech.archunit:archunit-junit5-engine	1.5.0	transitiva	test	
transitiva	com.tngtech.archunit:archunit-junit5-engine-api	1.5.0	transitiva	test	
transitiva	net.bytebuddy:byte-buddy	1.18.11	transitiva	test	
transitiva	net.bytebuddy:byte-buddy-agent	1.18.11	transitiva	test	
transitiva	org.apache.commons:commons-lang3	3.20.0	transitiva	compile	
transitiva	org.apiguardian:apiguardian-api	1.1.2	transitiva	test	
transitiva	org.jspecify:jspecify	1.0.1	transitiva	test	
transitiva	org.junit.jupiter:junit-jupiter-api	6.0.3	transitiva	test	
transitiva	org.junit.jupiter:junit-jupiter-engine	6.0.3	transitiva	test	
transitiva	org.junit.jupiter:junit-jupiter-params	6.0.3	transitiva	test	
transitiva	org.junit.platform:junit-platform-commons	6.0.3	transitiva	test	
transitiva	org.junit.platform:junit-platform-engine	6.0.3	transitiva	test	
transitiva	org.objenesis:objenesis	3.3	transitiva	test	
transitiva	org.opentest4j:opentest4j	1.3.0	transitiva	test	
transitiva	org.slf4j:slf4j-api	2.0.18	transitiva	compile	
transitiva	tools.jackson.core:jackson-core	3.2.2	transitiva	compile	
