tipo	ga	versao	origem	scope	divergente
direta	tools.jackson.core:jackson-databind	3.2.2	effective-pom	compile	
direta	org.yaml:snakeyaml	2.6	effective-pom	compile	
direta	org.slf4j:slf4j-api	2.0.18	effective-pom	compile	
direta	org.projectlombok:lombok	1.18.46	effective-pom	compile	
direta	org.springframework.boot:spring-boot-autoconfigure	4.1.1	effective-pom	compile	
direta	org.springframework:spring-beans	7.0.9	effective-pom	compile	
direta	org.springframework.boot:spring-boot-configuration-processor	4.1.1	effective-pom	compile	
direta	ch.qos.logback:logback-classic	1.5.38	effective-pom	provided	
direta	org.springframework.boot:spring-boot-test	4.1.1	effective-pom	test	
direta	org.springframework.boot:spring-boot-test-autoconfigure	4.1.1	effective-pom	test	
direta	org.springframework:spring-test	7.0.9	effective-pom	test	
direta	org.junit.jupiter:junit-jupiter	6.0.3	effective-pom	test	
direta	org.mockito:mockito-core	5.23.0	effective-pom	test	
direta	net.jqwik:jqwik	1.10.1	propriedade:jqwik.version (confirmada por effective-pom)	test	
direta	org.assertj:assertj-core	3.27.7	effective-pom	test	
transitiva	ch.qos.logback:logback-core	1.5.38	transitiva	provided	
transitiva	com.fasterxml.jackson.core:jackson-annotations	2.22	transitiva	compile	
transitiva	com.github.spotbugs:spotbugs-annotations	4.9.8	transitiva	provided	
transitiva	commons-logging:commons-logging	1.3.6	transitiva	compile	
transitiva	io.micrometer:micrometer-commons	1.17.1	transitiva	compile	
transitiva	io.micrometer:micrometer-observation	1.17.1	transitiva	compile	
transitiva	net.bytebuddy:byte-buddy	1.18.11	transitiva	test	
transitiva	net.bytebuddy:byte-buddy-agent	1.18.11	transitiva	test	
transitiva	net.jqwik:jqwik-api	1.10.1	transitiva	test	
transitiva	net.jqwik:jqwik-engine	1.10.1	transitiva	test	
transitiva	net.jqwik:jqwik-time	1.10.1	transitiva	test	
transitiva	net.jqwik:jqwik-web	1.10.1	transitiva	test	
transitiva	org.apiguardian:apiguardian-api	1.1.2	transitiva	test	
transitiva	org.jspecify:jspecify	1.0.1	transitiva	compile	
transitiva	org.junit.jupiter:junit-jupiter-api	6.0.3	transitiva	test	
transitiva	org.junit.jupiter:junit-jupiter-engine	6.0.3	transitiva	test	
transitiva	org.junit.jupiter:junit-jupiter-params	6.0.3	transitiva	test	
transitiva	org.junit.platform:junit-platform-commons	6.0.3	transitiva	test	
transitiva	org.junit.platform:junit-platform-engine	6.0.3	transitiva	test	
transitiva	org.objenesis:objenesis	3.3	transitiva	test	
transitiva	org.opentest4j:opentest4j	1.3.0	transitiva	test	
transitiva	org.springframework.boot:spring-boot	4.1.1	transitiva	compile	
transitiva	org.springframework:spring-aop	7.0.9	transitiva	compile	
transitiva	org.springframework:spring-context	7.0.9	transitiva	compile	
transitiva	org.springframework:spring-core	7.0.9	transitiva	compile	
transitiva	org.springframework:spring-expression	7.0.9	transitiva	compile	
transitiva	tools.jackson.core:jackson-core	3.2.2	transitiva	compile	
